n_iteracao,n_alvo,n_amostrado,lambda,mu,rho,media_estimada,wq_teorico,vies,desvio_padrao,ic_inferior,ic_superior,teorico_no_ic,duracao_wall_s
1,1000,1001,9.5,10,0.95,0.61959766,1.9,-1.28040234,0.5606155,0.58486771,0.65432761,False,0.002
2,1000,1001,9.5,10,0.95,1.16540603,1.9,-0.73459397,0.91686995,1.10860624,1.22220583,False,0.001
3,1000,1001,9.5,10,0.95,2.22429056,1.9,0.32429056,1.64713697,2.12225096,2.32633016,False,0.001
4,1000,1001,9.5,10,0.95,1.1154265,1.9,-0.7845735,1.03492529,1.05131322,1.17953979,False,0.001
5,1000,1001,9.5,10,0.95,1.43778111,1.9,-0.46221889,0.9438056,1.37931266,1.49624956,False,0.001
6,1000,1001,9.5,10,0.95,1.1121238,1.9,-0.7878762,0.80293713,1.06238211,1.1618655,False,0.001
7,1000,1001,9.5,10,0.95,0.89930582,1.9,-1.00069418,0.61746672,0.86105396,0.93755769,False,0.001
8,1000,1001,9.5,10,0.95,0.56824941,1.9,-1.33175059,0.5063115,0.53688358,0.59961524,False,0.001
9,1000,1001,9.5,10,0.95,0.95849334,1.9,-0.94150666,0.91068252,0.90207685,1.01490982,False,0.001
10,1000,1001,9.5,10,0.95,1.0682835,1.9,-0.8317165,0.7592391,1.02124888,1.11531811,False,0.001
11,1000,1001,9.5,10,0.95,1.37839296,1.9,-0.52160704,1.15365042,1.30692469,1.44986123,False,0.001
12,1000,1001,9.5,10,0.95,2.57271941,1.9,0.67271941,1.89329367,2.45543049,2.69000834,False,0.001
13,1000,1001,9.5,10,0.95,1.07597451,1.9,-0.82402549,1.00018507,1.01401338,1.13793565,False,0.001
14,1000,1001,9.5,10,0.95,1.56050112,1.9,-0.33949888,1.14326364,1.48967631,1.63132593,False,0.001
15,1000,1001,9.5,10,0.95,0.96141229,1.9,-0.93858771,0.77435625,0.91344118,1.00938341,False,0.001
16,1000,1001,9.5,10,0.95,1.55692605,1.9,-0.34307395,0.89017059,1.50178027,1.61207183,False,0.001
17,1000,1001,9.5,10,0.95,1.18764254,1.9,-0.71235746,0.58169007,1.15160703,1.22367806,False,0.001
18,1000,1001,9.5,10,0.95,0.99585658,1.9,-0.90414342,0.65296484,0.95540562,1.03630754,False,0.001
19,1000,1001,9.5,10,0.95,4.07184773,1.9,2.17184773,1.63302297,3.97068248,4.17301297,False,0.001
20,1000,1001,9.5,10,0.95,1.45786187,1.9,-0.44213813,1.53930076,1.36250269,1.55322105,False,0.001
21,1000,1001,9.5,10,0.95,0.72241559,1.9,-1.17758441,0.5925711,0.685706,0.75912518,False,0.001
22,1000,1001,9.5,10,0.95,1.85919743,1.9,-0.04080257,1.33701835,1.77636958,1.94202528,True,0.001
23,1000,1001,9.5,10,0.95,1.44323925,1.9,-0.45676075,1.08711432,1.37589287,1.51058563,False,0.001
24,1000,1001,9.5,10,0.95,1.12938681,1.9,-0.77061319,0.93325753,1.07157181,1.18720181,False,0.001
25,1000,1001,9.5,10,0.95,2.23334961,1.9,0.33334961,2.23064226,2.09516205,2.37153718,False,0.001
26,1000,1001,9.5,10,0.95,1.4409256,1.9,-0.4590744,1.07016083,1.37462949,1.50722172,False,0.001
27,1000,1001,9.5,10,0.95,0.81604652,1.9,-1.08395348,0.96086994,0.75652094,0.8755721,False,0.001
28,1000,1001,9.5,10,0.95,1.4249823,1.9,-0.4750177,1.07040706,1.35867093,1.49129367,False,0.001
29,1000,1001,9.5,10,0.95,0.53789609,1.9,-1.36210391,0.51598032,0.50593128,0.5698609,False,0.001
30,1000,1001,9.5,10,0.95,3.2628865,1.9,1.3628865,1.7414922,3.15500162,3.37077137,False,0.001
Média Global,1000.0,1001.0,9.5,10.0,0.9499999999999997,1.4286139496666663,1.8999999999999995,-0.4713860503333333,1.050046749,1.3635638959999998,1.493664005333333,0.03333333333333333,0.0010333333333333336
