n_iteracao,n_alvo,n_amostrado,lambda,mu,rho,media_estimada,wq_teorico,vies,desvio_padrao,ic_inferior,ic_superior,teorico_no_ic,duracao_wall_s
1,1000,1000,9.5,10,0.95,0.8827356,1.9,-1.0172644,0.88014546,0.82818362,0.93728758,False,0.001
2,1000,1000,9.5,10,0.95,1.32659381,1.9,-0.57340619,1.44222561,1.23720374,1.41598388,False,0.001
3,1000,1000,9.5,10,0.95,4.07346695,1.9,2.17346695,1.26920346,3.99480091,4.152133,False,0.001
4,1000,1000,9.5,10,0.95,0.95890222,1.9,-0.94109778,0.73678059,0.91323608,1.00456835,False,0.001
5,1000,1000,9.5,10,0.95,0.9105201,1.9,-0.9894799,0.81762639,0.85984309,0.96119711,False,0.001
6,1000,1000,9.5,10,0.95,1.28496629,1.9,-0.61503371,0.89901667,1.22924466,1.34068792,False,0.001
7,1000,1000,9.5,10,0.95,0.37967795,1.9,-1.52032205,0.39240165,0.35535664,0.40399926,False,0.001
8,1000,1000,9.5,10,0.95,3.62717036,1.9,1.72717036,2.02776452,3.50148822,3.75285251,False,0.001
9,1000,1000,9.5,10,0.95,0.86888796,1.9,-1.03111204,0.86787288,0.81509664,0.92267928,False,0.001
10,1000,1000,9.5,10,0.95,1.9057707,1.9,0.0057707,1.29312845,1.82562177,1.98591964,True,0.001
11,1000,1000,9.5,10,0.95,0.79583159,1.9,-1.10416841,0.82247422,0.74485411,0.84680907,False,0.001
12,1000,1000,9.5,10,0.95,1.52987066,1.9,-0.37012934,1.00089109,1.46783479,1.59190653,False,0.001
13,1000,1000,9.5,10,0.95,1.18880332,1.9,-0.71119668,0.93401163,1.13091268,1.24669396,False,0.001
14,1000,1000,9.5,10,0.95,0.67930972,1.9,-1.22069028,0.65474018,0.6387285,0.71989093,False,0.001
15,1000,1000,9.5,10,0.95,1.65685761,1.9,-0.24314239,1.5698919,1.5595547,1.75416052,False,0.001
16,1000,1000,9.5,10,0.95,2.35768057,1.9,0.45768057,1.55412287,2.26135503,2.4540061,False,0.001
17,1000,1000,9.5,10,0.95,0.84894205,1.9,-1.05105795,0.64099242,0.80921293,0.88867117,False,0.001
18,1000,1000,9.5,10,0.95,1.17423547,1.9,-0.72576453,0.91287682,1.11765478,1.23081616,False,0.001
19,1000,1000,9.5,10,0.95,1.24958598,1.9,-0.65041402,0.87895859,1.19510756,1.3040644,False,0.001
20,1000,1000,9.5,10,0.95,0.76505952,1.9,-1.13494048,0.67088496,0.72347764,0.8066414,False,0.001
21,1000,1000,9.5,10,0.95,1.7045293,1.9,-0.1954707,0.83108056,1.65301839,1.7560402,False,0.001
22,1000,1000,9.5,10,0.95,0.32877181,1.9,-1.57122819,0.30902376,0.30961832,0.3479253,False,0.001
23,1000,1000,9.5,10,0.95,3.17118628,1.9,1.27118628,2.54629181,3.01336548,3.32900708,False,0.001
24,1000,1000,9.5,10,0.95,0.76735057,1.9,-1.13264943,0.50224305,0.73622122,0.79847991,False,0.001
25,1000,1000,9.5,10,0.95,1.18140675,1.9,-0.71859325,0.79961888,1.13184586,1.23096764,False,0.001
26,1000,1000,9.5,10,0.95,0.66780308,1.9,-1.23219692,0.55756728,0.63324471,0.70236146,False,0.001
27,1000,1000,9.5,10,0.95,4.9558497,1.9,3.0558497,1.39450842,4.86941717,5.04228222,False,0.001
28,1000,1000,9.5,10,0.95,0.73416404,1.9,-1.16583596,0.61082099,0.69630496,0.77202312,False,0.001
29,1000,1000,9.5,10,0.95,0.67199811,1.9,-1.22800189,0.6664684,0.63068997,0.71330625,False,0.001
30,1000,1000,9.5,10,0.95,2.22998952,1.9,0.32998952,1.42257056,2.14181768,2.31816136,False,0.001
Média Global,1000.0,1000.0,9.5,10.0,0.9499999999999997,1.4959305863333332,1.8999999999999995,-0.4040694136666667,0.9968734690000001,1.4341437283333331,1.5577174436666665,0.03333333333333333,0.0010000000000000002
