n_iteracao,n_alvo,n_amostrado,lambda,mu,rho,media_estimada,wq_teorico,vies,desvio_padrao,ic_inferior,ic_superior,teorico_no_ic,duracao_wall_s
1,1000,1000,9.5,10,0.95,1.3474792,1.9,-0.5525208,0.80232049,1.29775086,1.39720754,False,0.001
2,1000,1000,9.5,10,0.95,3.17918798,1.9,1.27918798,1.34365717,3.09590725,3.26246871,False,0.001
3,1000,1000,9.5,10,0.95,1.80524065,1.9,-0.09475935,1.44439735,1.71571598,1.89476533,False,0.001
4,1000,1000,9.5,10,0.95,1.49433433,1.9,-0.40566567,0.87415684,1.44015353,1.54851513,False,0.001
5,1000,1000,9.5,10,0.95,0.80397034,1.9,-1.09602966,0.74205264,0.75797745,0.84996324,False,0.001
6,1000,1000,9.5,10,0.95,1.47642184,1.9,-0.42357816,1.20504417,1.40173242,1.55111125,False,0.001
7,1000,1000,9.5,10,0.95,0.57519267,1.9,-1.32480733,0.54296238,0.54153951,0.60884582,False,0.001
8,1000,1000,9.5,10,0.95,0.98265647,1.9,-0.91734353,0.64796468,0.9424952,1.02281773,False,0.001
9,1000,1000,9.5,10,0.95,2.06046604,1.9,0.16046604,1.50141636,1.96740729,2.15352479,False,0.001
10,1000,1000,9.5,10,0.95,1.28721481,1.9,-0.61278519,1.08148512,1.22018367,1.35424596,False,0.001
11,1000,1000,9.5,10,0.95,0.4995669,1.9,-1.4004331,0.41893555,0.47360101,0.5255328,False,0.001
12,1000,1000,9.5,10,0.95,1.38516266,1.9,-0.51483734,0.82160465,1.33423908,1.43608625,False,0.001
13,1000,1000,9.5,10,0.95,0.56188186,1.9,-1.33811814,0.46086193,0.53331735,0.59044638,False,0.001
14,1000,1000,9.5,10,0.95,1.42312772,1.9,-0.47687228,0.92343339,1.36589272,1.48036271,False,0.001
15,1000,1000,9.5,10,0.95,1.73033861,1.9,-0.16966139,0.88312004,1.67560226,1.78507496,False,0.001
16,1000,1000,9.5,10,0.95,0.77699728,1.9,-1.12300272,0.67340268,0.73525935,0.81873521,False,0.001
17,1000,1000,9.5,10,0.95,1.05628041,1.9,-0.84371959,0.84795425,1.00372366,1.10883716,False,0.001
18,1000,1000,9.5,10,0.95,0.56173666,1.9,-1.33826334,0.56529452,0.52669935,0.59677398,False,0.001
19,1000,1000,9.5,10,0.95,1.98990608,1.9,0.08990608,1.37721227,1.90454558,2.07526658,False,0.001
20,1000,1000,9.5,10,0.95,0.68388069,1.9,-1.21611931,0.55249328,0.64963681,0.71812458,False,0.001
21,1000,1000,9.5,10,0.95,0.84845054,1.9,-1.05154946,0.60926744,0.81068775,0.88621332,False,0.001
22,1000,1000,9.5,10,0.95,2.75874211,1.9,0.85874211,1.6444884,2.65681567,2.86066856,False,0.001
23,1000,1000,9.5,10,0.95,1.80914821,1.9,-0.09085179,1.03139279,1.74522182,1.8730746,False,0.001
24,1000,1000,9.5,10,0.95,0.75789032,1.9,-1.14210968,0.63928991,0.71826672,0.79751392,False,0.001
25,1000,1000,9.5,10,0.95,1.64911709,1.9,-0.25088291,1.20163222,1.57463915,1.72359503,False,0.001
26,1000,1000,9.5,10,0.95,0.60037968,1.9,-1.29962032,0.68236959,0.55808598,0.64267339,False,0.002
27,1000,1000,9.5,10,0.95,1.67622067,1.9,-0.22377933,1.28037776,1.59686204,1.75557931,False,0.001
28,1000,1000,9.5,10,0.95,2.04785669,1.9,0.14785669,1.41803413,1.95996603,2.13574736,False,0.001
29,1000,1000,9.5,10,0.95,3.97636612,1.9,2.07636612,1.84252246,3.86216539,4.09056684,False,0.001
30,1000,1000,9.5,10,0.95,1.16255791,1.9,-0.73744209,0.88890786,1.10746283,1.21765299,False,0.001
Média Global,1000.0,1000.0,9.5,10.0,0.9499999999999997,1.432259084666667,1.8999999999999995,-0.46774091533333334,0.9649350773333334,1.3724517903333333,1.4920663809999999,0.0,0.0010333333333333336
